,제목,가수,가사,좋아요
18,사랑아,박지현,"사랑아 이제는 울지 말아요
내 맘이 너무 아파요
떠나야 하는데 나는 못 가요
그 눈물 가슴에 맺혀
사랑을 했던 우리 추억이
흐느껴 울고 있는데
가져선 안될 사랑이기에
이제는 멈춰야 해요
아 사랑아 사랑아 울면 안 돼요
그대 울면 나는 못 가요
아 이별아 이별아 아프지 않게
내 사랑 데려가 줘요
사랑아 이제는 슬퍼 말아요
슬픔에 목이 메어요
가야만 하는데 가지 못해요
그 슬픔 길을 막아요
사랑을 했던 우리 두 가슴
까맣게 타고 있는데
만나선 안 될 사랑이기에
여기서 멈춰야 해요
아 사랑아 사랑아 슬퍼 말아요
그대 슬픔 두고 못 가요
아 이별아 이별아 아프지 않게
내 사랑 데려가 줘요
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",377
19,천상재회,박지현,"그대는 오늘 밤도 내게 올 순 없겠지
목메어 애타게 불러도 대답 없는 그대여
못다 한 이야기는 눈물이 되겠지요
나만을 사랑했다는 말 바람결에 남았어요
끊을 수 없는 그대와 나의 인연은
운명이라 생각했죠
가슴에 묻은 추억의 작은 조각들
되돌아 회상하면서
천상에서 다시 만나면
그대를 다시 만나면
세상에서 못다 했던 그 사랑을
영원히 함께할래요

끊을 수 없는 그대와 나의 인연은
운명이라 생각했죠
가슴에 묻은 추억의 작은 조각들
되돌아 회상하면서
천상에서 다시 만나면
그대를 다시 만나면
세상에서 못다 했던 그 사랑을
영원히 함께할래요
세상에서 못다 했던 그 사랑을
영원히 함께할래요
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",216
20,초혼,장윤정,"살아서는 갖지 못하는 그런 이름 하나 때문에
그리운 맘 눈물 속에 난 띄워 보낼 뿐이죠
스치듯 보낼 사람이 어쩌다 내게 들어 와
장미의 가시로 남아서 날 아프게 지켜 보네요
따라가면 만날 수 있나 멀고 먼 세상 끝까지
그대라면 어디라도 난 그저 행복할 테니

살아서는 갖지 못하는 그런 이름 하나 때문에
그리운 맘 눈물 속에 난 띄워 보낼 뿐이죠
스치듯 보낼 사람이 어쩌다 내게 들어 와
장미의 가시로 남아서 날 아프게 지켜 보네요
따라가면 만날 수 있나 멀고 먼 세상 끝까지
그대라면 어디라도 난 그저 행복할 테니
난 너무 행복할 테니
bsadmin56 님이 등록해 주신 가사입니다.
가사 오류 제보","5,868"
21,빠라빠빠,박지현,"달린다 달려간다 턱까지 숨이 차도
힘차게 달려가야 한다
청춘의 이름으로 미지의 꿈을 향해
끝까지 완주해야 한다
아무리 커다란 힘겨운 시련들이
버티고 서 있다 해도
우리는 할 수 있어
이룰 거야
빠라빠 빠라빠빠
청춘의 나팔을 울려라
빠라빠 빠라빠빠
높푸른 하늘에 퍼져라
티 없이 영롱한 그라스에 희망의 술을 부어
모두 함께 술잔을 들어라
우리들의 청춘을 위해
다 같이 소리 높여 건배 건배
저어라 노를 저어 턱까지 숨이 차도
힘차게 저어가야 한다
청춘의 이름으로 미지의 꿈을 향해
끝까지 저어가야 한다
아무리 커다란 힘겨운 시련들이
버티고 서 있다 해도
우리는 할 수 있어
이룰 거야
빠라빠 빠라빠빠
청춘의 나팔을 울려라
빠라빠 빠라빠빠
높푸른 하늘에 퍼져라
저 넓은 세상의 바다 위에 희망의 배를 띄워
모두 함께 힘차게 노를 저어라
미지의 세계를 향해
다 같이 소리 높여 어기여차
빠라빠 빠라빠빠
청춘의 나팔을 울려라
빠라빠 빠라빠빠
높푸른 하늘에 퍼져라
티 없이 영롱한 그라스에 희망의 술을 부어
모두 함께 술잔을 들어라
우리들의 청춘을 위해
다 같이 소리 높여 건배 건배
다 같이 소리 높여 건배 건배
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",220
22,인생아 고마웠다,박지현,"인생아 고마웠다
사람이 나를 떠나도
세상이 나를 속여도
내 곁에 있어주어서
인생아 고마웠다
사랑이 나를 떠나도
그것은 내 몫이라고
나에게 말해주어서
인생아 나 부탁을 한다
나 두 눈 감는 날에는
잘 살았다고 훌륭했다고
그 말만 해주라
눈물이 많은 삶이어서
고생했다 말해주라
배운 게 많은 삶이어서
아름답다 말해주라
인생아 고마웠다
빈 몸으로 태어나도
많은 걸 채워주고
빈 몸으로 보내주어서
인생아 나 부탁을 한다
나 두 눈 감는 날에는
잘 살았다고 훌륭했다고
그 말만 해주라
눈물이 많은 삶이어서
고생했다 말해주라
배운 게 많은 삶이어서
아름답다 말해주라
인생아 고마웠다
인생아 내 인생아
참 고마웠다
인생아 사랑한다
인생아 사랑한다
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",246
23,내 소중한 사람에게,박지현,"그대가 그립습니다
내 가슴 오직 한 사람
문득 올려다본 저 하늘엔
떠가는 작은 그리움 하나
언제나 삶이 힘겨울 때도
늘 곁에서 함께한 사람
그 한마디 전하지 못한 말
그대는 나의 전부입니다
그대가 없는 빈자리
지워질 수 없는 그때 그 추억이
텅 빈 내 가슴을 비워도
그대 하나만큼은 비울 수 없네요
언제나 그대를 많이 사랑해요
그댄 나를 있게 한 사람
내 가슴엔 곁에 함께한 그대와
늘 행복한 꿈을 꾸어요
그대가 없는 빈자리
지워질 수 없는 그때 그 추억이
텅 빈 내 가슴을 비워도
그대 하나만큼은 비울 수 없네요
언제나 그대를 많이 사랑해요
그댄 나를 있게 한 사람
내 가슴엔 곁에 함께한 그대와
늘 행복한 꿈을 꾸어요
이 세상 그대뿐인 내가 많이 사랑해요
바라만 봐도 좋은 사람
늘 그때같이 내 그대와 영원히
늘 사랑에 꿈을 꾸어요
늘 행복한 꿈을 꾸어요
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",233
24,사랑해요 그대를,박지현,"너무나 고마운 사람
너무나 따뜻한 사람
한 번도 잊어본 적 없는
내 마음속에 그 사람
나 그대 생각만 해도
가슴이 뭉클해지고
그런 당신 내 곁에 있어
나는 행복한 사람
그대는 나만의 사랑
그대는 나만의 행복
세월 가도 영원히
당신은 나만의 사랑
사랑해요 그대를
사랑해요 그대를
이 생명 다할 때까지
당신은 내 사랑
사랑해요 그대를
사랑해요 그대를
이 생명 다할 때까지
당신은 내 사랑
이 생명 다할 때까지
당신은 내 사랑
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",268
25,흔들린 우정,박지현,"아냐 이게 아닌데 왜 난 자꾸만
친구의 여자가 좋을까
이러면 안 되지 하면서 왜 내 맘속엔
온통 그녀 생각뿐일까
친구 몰래 걸려온 그녀의 전화가
난 왜 이리도 설레일까
냉정하게 거절하면 되는데
왜 난 그녀를 거절하지 못할까
정말 난 미치겠어 나도 나를 잘 모르겠어
오랜 친구와의 우정을 외면한 채
여자 땜에 흔들리는 게
너무나 괴로워 나만 포기하면 되는데
왜 난 고민할 가치도 없는 일을
이렇게 고민하고 있는지
미안해 내 친구야 잠시 너를 기만했던걸
지금까지 너에 대한 내 우정이
아직도 좀 모자란가 봐
이해해 줘 내 친구야 잠시 흔들렸던 우정을
누군가가 너와 나의 친구 사일
질투해 시험했던 거라 그렇게 생각해 줘

뭐야 정말 이게 뭐야 왜 하필
난 친구의 여자가 좋을까
이러면 안 되는 줄 알면서
왜 난 자꾸 그녀에게 끌리는 걸까
친구와 그녀가 다퉜다는 얘길 듣고
왜 내가 웃는 걸까
말도 안 되는 상상을 하며
헛된 기댈 왜 난 자꾸 하는 것일까
정말 난 모르겠어 이런 내 자신이 싫었어
내 욕심만 채우려 우정을 잠시
망각했던 내 자신이 싫었어
너무나 괴로워 마치 죄를 짓는 것 같아
이젠 모든 걸 다 잊고 난 친구 곁으로
돌아가야 하겠어
미안해 내 친구야 잠시 너를 기만했던 걸
지금까지 너에 대한 내 우정이
아직도 좀 모자란가 봐
이해해 줘 내 친구야 잠시 흔들렸던 우정을
누군가가 너와 나의 친구 사일
질투해 시험했던 거라 그렇게 생각해 줘
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",242
26,보금자리,임영웅,"그대 사랑이 나였음 좋겠다
아무것도 필요 없어요

든든한 품에 안겨 잠들고 싶어라
내 사랑의 보금자리

아무것도 바라지 않아요
당신만 있으면 돼

한 눈 팔지 않고 사랑할래요

돈도 필요 없어 백도 필요 없어
당신만 있으면 돼


그대 사랑이 나였음 좋겠다
아무것도 필요 없어요

든든한 품에 안겨 잠들고 싶어라
내 사랑의 보금자리

아무것도 바라지 않아요
당신만 있으면 돼

한 눈 팔지 않고 사랑할래요

돈도 필요 없어 백도 필요 없어
당신만 있으면 돼

아무것도 바라지 않아요
당신만 있으면 돼

한 눈 팔지 않고 사랑할래요

돈도 필요 없어 백도 필요 없어
당신만 있으면 돼

당신만 있으면 돼
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","5,962"
27,바램,임영웅,"내 손에 잡은 것이 많아서
손이 아픕니다
등에 짊어진 삶의 무게가
온 몸을 아프게 하고
매일 해결해야 하는 일 때문에
내 시간도 없이 살다가
평생 바쁘게 걸어 왔으니
다리도 아픕니다
내가 힘들고 외로워 질 때
내 얘길 조금만 들어 준다면
어느 날 갑자기 세월의 한복판에
덩그러니 혼자 있진 않겠죠
큰 것도 아니고 아주 작은 한 마디
지친 나를 안아 주면서
사 랑 한 다
정말 사랑 한다는
그 말을 해 준다면
나는 사막을 걷는다 해도
꽃길이라 생각 할 겁니다
우린 늙어가는 것이 아니라
조금씩 익어가는 겁니다
우린 늙어가는 것이 아니라
조금씩 익어가는 겁니다
저 높은 곳에 함께 가야 할 사람
그대 뿐입니다
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보","5,973"
28,귀여운 여인,박지현,"아싸 불타는 이 기분
그녀가 좋아
매력 있는 그 미소가 너무도 아름다워
사랑에 흠뻑 빠질 것 같은
첫눈에 반한 그 여자
이러면 안 돼 어쩌면 좋아
이 마음 어쩌면 좋아
앵두 같은 입술로 유혹하지 말아요
누가 날 좀 말려주세요
참을 수 없이 불타는 이 마음
누가 날 좀 말려주세요
아싸 황홀한 이 기분 그대가 좋아
매력 있는 그 모습이 너무도 아름다워
사랑에 흠뻑 빠질 것 같은
첫눈에 반한 그 여자
이러면 안 돼 어쩌면 좋아
이 마음 어쩌면 좋아
앵두 같은 입술로 유혹하지 말아요
누가 날 좀 말려주세요
참을 수 없이 불타는 이 마음
누가 날 좀 말려주세요
참을 수 없이 불타는 이 마음
누가 날 좀 말려주세요
Bugs 님이 등록해 주신 가사입니다.
가사 오류 제보",214
